module.state_technical_error|Erreur technique - Lengow
tab.home|Accueil
tab.product|Produits
tab.order|Commandes
tab.order_setting|Paramètres des commandes
tab.help|Aide
tab.main_setting|Paramétrages principaux
tab.legals|Mentions légales
menu.product|Produits
menu.order|Commandes
menu.jump_to_lengow|Accéder à Lengow
menu.debug_active|Debug Mode
menu.counter|Période d'essai : %{counter} jour(s) restant(s).
menu.upgrade_account|Souscrire
menu.order_overview|Vue d'ensemble
menu.order_parameter|Paramètres des commandes
menu.help|Aide
menu.global_parameter|Paramètres principaux
menu.new_version_available|La nouvelle version %{version} est disponible !
menu.download_plugin|Télécharger
footer.legals|Mentions légales
footer.plugin_lengow|Lengow Prestashop Module
footer.lengow_link_url|http://www.lengow.com/fr/
dashboard.screen.welcome_back|Bonjour ! Bienvenue parmi nous !
dashboard.screen.go_to_lengow|Aller sur la plateforme Lengow
dashboard.screen.products_title|Produits
dashboard.screen.products_text|Consulter tous vos produits disponibles pour préparer votre catalogue
dashboard.screen.orders_title|Commandes
dashboard.screen.orders_text|Gérer vos commandes directement sur votre tableau de bord PrestaShop.
dashboard.screen.settings_title|Paramètrage
dashboard.screen.settings_text|Configurer les principaux paramètres de votre plugin PrestaShop
dashboard.screen.some_help_title|Besoin d'aide ?
dashboard.screen.get_in_touch|Prenez contact avec les équipes Lengow.
dashboard.screen.visit_help_center|Visitez notre Help Center
dashboard.screen.configure_plugin|pour plus d'informations sur la configuration de votre plugin PrestaShop
status.screen.title_end_free_trial|Toutes les bonnes choses ont une fin...
status.screen.subtitle_end_free_trial|Vous avez atteint la fin de votre période d'essai !
status.screen.first_description_end_free_trial|Vos 15 jours d'essai gratuit sur la plateforme Lengow sont maintenant terminés. Nous espérons qu'ils ont été bénéfiques à votre activité e-commerce.
status.screen.second_description_end_free_trial|Votre compte va être désactivé jusqu'à ce que vous souscriviez à un abonnement sur la plateforme Lengow. Toutes les diffusions en cours ainsi que les importations vont être momentanément stoppées.
status.screen.third_description_end_free_trial|Votre compte d'essai sera supprimé 30 jours après expiration. Pour conserver l'intégralité des paramètres que vous avez défini, pensez à souscrire dès maintenant !
status.screen.upgrade_account_button|Je suis prêt à souscrire !
status.screen.refresh_action|Actualiser mon compte
product.screen.nb_exported|produits exportés 
product.screen.nb_available|produits disponibles
product.screen.include_specific_product|Inclure une sélection de produits
product.screen.include_specific_product_support|Utilisez cette option pour sélectionner vos produits individuellement
product.screen.no_result_found|Désolé, nous n'avons trouvé aucun élément correspondant à votre demande.<br />Souhaitez-vous modifier votre recherche ?
product.screen.no_product_selected|Sélectionnez un produit
product.screen.date_from|Du
product.screen.date_to|Au
product.screen.button_copy|Copier
product.screen.button_download|Télécharger
product.screen.button_yes|Oui
product.screen.button_no|Non
product.screen.button_search|Rechercher
product.screen.select_all_products|Sélectionnez l'ensemble de vos produits (%{nb} products)
product.screen.add_confirmation|Voulez-vous vraiment ajouter %{nb} produits dans votre sélection ?
product.screen.remove_confirmation|Voulez-vous vraiment supprimer %{nb} produits de votre sélection ?
product.screen.remove_from_export|Supprimer de mon export
product.screen.add_from_export|Inclure dans mon export
product.table.id_product|ID
product.table.image|Image
product.table.name|Nom
product.table.reference|SKU
product.table.category_name|Catégorie
product.table.price|Prix de base
product.table.final_price|Prix final
product.table.quantity|Quantité
product.table.lengow_status|Inclure dans l'export ?
product.table.pagination_of|sur
order.screen.import_charge_first|Commandes en cours de récupération...
order.screen.import_charge_second|Restez avec nous, cela ne va pas durer longtemps (2 min d'attente en moyenne)
order.screen.all_order_will_be_sent_to|Les rapports d'erreurs de vos commandes seront envoyés par email à
order.screen.change_this|Vous voulez modifier cela ?
order.screen.last_order_importation|Dernière synchronisation
order.screen.no_order_importation|Aucune synchronisation pour le moment
order.screen.import_auto|Auto
order.screen.import_manuel|Manuel
order.screen.button_update_orders|Synchroniser les commandes
order.screen.button_reimport_order|Réimporter mes commandes
order.screen.button_resend_order|Renvoyer mes commandes
order.screen.debug_warning_message|Vous êtes en Debug Mode. Vous pouvez importer vos commandes mais les interactions avec Lengow ne sont pas possibles. <a href=%{url}>Désactiver le Debug Mode ?</a>
order.screen.import_single_warning_message|La version de votre module est comprise entre la 1.5.2 et la 1.5.4. Pour des raisons de sécurité, vous ne pouvez importer qu'une seule commande par synchronisation.
order.screen.no_carrier_warning_message|Certaines de vos commandes ne vont pas pouvoir être importées car vous n'avez pas encore défini de transporteur par défaut pour certains pays de livraison. <a href=%{url}>Configurer les transporteurs</a>
order.screen.not_imported|Pas importée
order.screen.not_sent|Non envoyé
order.screen.refresh_order|Actualiser ma commande
order.screen.order_not_imported|Votre commande n'a pas été importée dans PrestaShop.
order.screen.action_sent|Action %{action_type} envoyée
order.screen.action_waiting_return|Action envoyée, en attente d'une réponse.
order.screen.action_sent_not_work|Erreur sur l'action envoyée à la place de marché.
order.screen.no_error_message|Erreur non identifiée, merci de contacter le support Lengow pour plus d'informations
order.screen.no_order_title|Le meilleur est encore à venir ! 
order.screen.no_order_description|Vos produits sont bien visibles, vos ventes sont sur le point de décoller
order.screen.action_success|Succès
order.screen.action_error|Erreur
order.screen.status_not_synchronized|Non synchronisé
order.screen.status_accepted|Accepté
order.screen.status_waiting_shipment|En attente d'expédition
