module.state_technical_error|Errore Tecnico
tab.home|Home
tab.dashboard|Cruscotto
tab.product|Prodotto
tab.order|Ordine
tab.order_setting|Impostazione Ordine
tab.help|Aiuto
tab.main_setting|Impostazioni Principali
tab.legals|Condizioni Legali
tab.toolbox|Toolbox
menu.product|Prodotto
menu.order|Ordine
menu.jump_to_lengow|Vai su Lengow
menu.debug_active|Debug Mode
menu.counter|Periodo di prova: %{counter} giorno(s) a sinistra
menu.upgrade_account|Iscriviti
menu.order_overview|Panoramica
menu.order_parameter|Parametro
menu.help|Aiuto
menu.global_parameter|Impostazioni Generali
menu.new_version_available|È disponibile una nuova versione %{version}!
menu.download_plugin|Scaricare
update.version_available|Nuova versione disponibile!
update.start_now|Inizia ora a beneficiare delle nuove funzionalità, miglioramenti e correzioni di bug riassunti nei nostri
update.link_changelog|log delle modifiche.
update.step_one|Passo 1
update.download_last_version|Scarica l'ultima versione del plugin di seguito.
update.plugin_compatibility|Compatibile con PrestaShop da %{cms_min_version} a %{cms_max_version}
update.extension_required|Richiede l'estensione %{name} %{min_version} a %{max_version}
update.step_two|Passo 2
update.link_follow|Segui
update.update_procedure|la procedura di aggiornamento (facile e veloce).
update.not_working|¿No funciona? Contattare il nostro
update.customer_success_team|Customer Success team
update.button_download_version|Lengow PrestaShop %{version}
update.button_remind_me_later|Non ora, ricordamelo più tardi
footer.toolbox|Toolbox
footer.legals|Condizioni Legali
footer.plugin_lengow|Lengow plugin PrestaShop
footer.lengow_link_url|https://www.lengow.com/it/
connection.home.description_first|Lengow ti aiuta a ottimizzare il tuo business in tutto il mondo!
connection.home.description_second|Attraverso la piattaforma, puoi pubblicare automaticamente il tuo catalogo prodotti sui marketplaces, sui siti web di confronto dei prezzi, sulle reti di affiliazione e sulle campagne di retargeting.
connection.home.description_third|Esplora le tue opportunità di crescita internazionale con 1.600 canali di vendita in 42 paesi diversi.
connection.home.description_fourth|Solo un altro passo per installare il tuo plugin Lengow per PrestaShop
connection.home.button|Collegare il mio PrestaShop con Lengow
connection.home.no_account|Non hai un conto su Lengow?
connection.home.no_account_sign_up|Iscriviti gratuitamente
connection.cms.credentials_title|Inserisci le tue credenziali API Lengow
connection.cms.credentials_description|Trova queste credenziali nelle impostazioni del tuo conto, sezione "A.P.I"
connection.cms.credentials_help|Hai bisogno di aiuto?
connection.cms.credentials_help_center|Controlla il nostro Centro Assistenza
connection.cms.credentials_button|Connettiti a Lengow
connection.cms.credentials_button_loading|Collegamento...
connection.cms.credentials_placeholder_access_token|Inserisci il tuo access token
connection.cms.credentials_placeholder_secret|Inserisci il tuo segreto
connection.cms.success_title|Ben fatto! Lengow è ora collegato con il tuo PrestaShop
connection.cms.success_description_first|Ora potrai utilizzare il plugin, configurare i prodotti e visualizzare i tuoi ordini.
connection.cms.success_description_second|Per importare il tuo catalogo e configurare i tuoi canali,
connection.cms.success_description_second_go_to_lengow|vai su Lengow.
connection.cms.success_button|Vai al cruscotto
connection.cms.success_description_first_catalog|Un ultimo passo per completare l'installazione:
connection.cms.success_description_second_catalog|Collega i tuoi cataloghi Lengow ai tuoi negozi PrestaShop.
connection.cms.success_button_catalog|Collega i cataloghi
connection.cms.failed_title|Ooops! Impossibile collegare Lengow al tuo PrestaShop
connection.cms.failed_description|Non siamo stati in grado di effettuare il collegamento tra il tuo PrestaShop e Lengow.
connection.cms.failed_description_first_credentials|Incapace di connettersi con le credenziali fornite.
connection.cms.failed_description_second_credentials_prod|Si prega di verificare che queste credenziali corrispondano all'ambiente di produzione di Lengow. 
connection.cms.failed_description_second_credentials_preprod|Si prega di verificare che queste credenziali corrispondano all'ambiente di pre-produzione di Lengow.
connection.cms.failed_help|Se il problema persiste, potrai dare un'occhiata alla
connection.cms.failed_help_center|"guida PrestaShop"
connection.cms.failed_help_or|o contattare il nostro
connection.cms.failed_help_customer_success_team|"Customer Success Team"
connection.cms.failed_button|Riprova
connection.catalog.link_title|Collega i tuoi negozi con Lengow
connection.catalog.link_description|Per recuperare tutte le tue configurazioni esistenti (ordini, prodotti...) collega direttamente i seguenti negozi PrestaShop con il tuo catalogo o i tuoi cataloghi Lengow.
connection.catalog.link_catalog_avalaible|i cataloghi sono disponibili e non sono collegati a un cms in Lengow.
connection.catalog.link_button|Salva e vai al cruscotto
connection.catalog.link_placeholder_catalog|Seleziona un catalogo
connection.catalog.failed_title|Ooops! Impossibile collegare i tuoi cataloghi a Lengow
connection.catalog.failed_description_first|Non siamo riusciti a collegare i tuoi cataloghi a Lengow.
connection.catalog.failed_description_second|Potrai riprovare o compilare gli ID dei cataloghi direttamente nelle impostazioni del plugin.
dashboard.screen.welcome_back|Ciao! Ben tornato!
dashboard.screen.go_to_lengow|Vai su Lengow
dashboard.screen.products_title|Prodotti
dashboard.screen.products_text|Visualizza tutti i prodotti disponibili per poter preparare il tuo catalogo
dashboard.screen.orders_title|Ordini
dashboard.screen.orders_text|Gestisci i tuoi ordini direttamente nel tuo PrestaShop
dashboard.screen.settings_title|Impostazioni
dashboard.screen.settings_text|Configura le impostazioni principali del tuo plugin PrestaShop
dashboard.screen.some_help_title|Hai bisogno d'aiuto?
dashboard.screen.get_in_touch|Resta in contatto con Lengow.
dashboard.screen.visit_help_center|Visita il nostro Help Center
dashboard.screen.configure_plugin|per maggiori informazioni su come configurare il tuo plugin PrestaShop
status.screen.title_end_free_trial|Tutte le cose belle hanno una fine
status.screen.subtitle_end_free_trial|Hai raggiunto la fine del tuo periodo di prova!
status.screen.first_description_end_free_trial|Il tuo periodo di prova di 15 giorni su Lengow é scaduto. Che brutta notizia, ma il meglio deve ancora arrivare! Ci auguriamo che Lengow vi abbia aiutato a migliorare il vostro business.
status.screen.second_description_end_free_trial|Il tuo account sarà sospeso fino a quando non sarà acquistata una nuova licenza. Tutte le pubblicazioni e indicizzazioni in corso saranno sospese
status.screen.third_description_end_free_trial|Non dimenticare che l'account di prova sarà eliminato dopo 30 giorni dalla fine del periodo di prova. Iscriviti in modo da non perdere il lavoro fatto fino ad ora sui tuoi canali.
